,0
1464,15579
1465,3325
1466,6244
1467,13030
1468,27970
1469,7713
1470,5174
1471,12271
1472,7255
1473,9981
1474,6020
1475,9449
1476,9449
1477,13746
1478,9751
1479,10468
1480,19802
1481,3647
1482,11615
1483,15501
1484,8958
1485,18179
1486,10611
1487,7203
1488,12204
1489,10142
1490,13547
1491,43115
1492,24787
1493,17642
1494,7891
1495,17524
1496,13504
1497,17936
1498,7052
1499,28964
1500,4230
1501,8216
1502,9055
1503,6975
1504,9756
1505,9863
1506,12554
1507,20351
1508,15478
1509,8536
1510,8603
1511,14984
1512,8490
1513,32337
1514,22795
1515,7543
1516,14574
1517,11661
1518,14642
1519,15665
1520,23316
1521,15480
1522,9672
1523,4115
1524,12119
1525,19178
1526,14837
1527,8766
1528,15474
1529,15397
1530,26055
1531,12065
1532,8875
1533,23810
1534,34283
1535,11236
1536,12065
1537,26180
1538,14157
1539,7817
1540,24624
1541,22455
1542,15856
1543,22966
1544,20573
1545,17818
1546,19709
1547,15334
1548,3246
1549,21240
1550,19166
1551,6693
1552,17038
1553,5893
1554,28982
1555,31535
1556,22562
1557,14257
1558,4628
1559,16175
1560,16109
1561,17974
1562,15042
1563,17728
1564,23078
1565,25820
1566,46765
1567,5599
1568,26636
1569,10749
1570,21825
1571,18699
1572,9959
1573,11839
1574,15401
1575,24370
1576,15732
1577,19319
1578,16400
1579,6248
1580,13130
1581,8097
1582,10949
1583,7242
1584,2541
1585,4532
1586,22519
1587,9686
1588,24035
1589,17376
1590,15167
1591,7043
1592,18776
1593,8029
1594,10334
1595,8512
1596,13255
1597,12144
1598,11059
1599,25738
1600,21682
1601,15946
1602,3634
1603,10274
1604,1765
1605,16998
1606,10357
1607,16998
1608,7934
1609,31957
1610,6187
1611,14068
1612,14760
1613,7665
1614,8033
1615,13727
1616,25622
1617,8925
1618,6212
1619,5551
1620,80291
1621,10623
1622,7303
1623,13424
1624,10961
1625,15141
1626,13510
1627,20681
1628,11345
1629,16572
1630,10256
1631,17065
1632,3986
1633,14543
1634,14399
1635,4254
1636,14893
1637,18324
1638,19764
1639,9285
1640,24070
1641,17636
1642,17988
1643,15187
1644,12166
1645,21487
1646,22515
1647,14537
1648,26102
1649,13865
1650,18265
1651,7695
1652,21385
1653,26662
1654,16628
1655,12748
1656,28192
1657,18309
1658,15379
1659,5331
1660,8952
1661,13183
1662,26360
1663,22034
1664,14154
1665,14379
1666,18115
1667,18939
1668,26564
1669,8567
1670,24826
1671,26825
1672,12097
1673,5200
1674,14310
1675,19053
1676,27112
1677,20231
1678,29626
1679,7265
1680,11509
1681,4357
1682,7517
1683,15724
1684,15863
1685,3383
1686,13095
1687,16962
1688,12820
1689,16932
1690,22801
1691,7691
1692,15777
1693,7443
1694,20869
1695,15680
1696,14638
1697,24990
1698,9708
1699,21185
1700,12625
1701,10819
1702,23012
1703,24504
1704,18734
1705,11308
1706,18037
1707,9884
1708,23341
1709,8645
1710,10969
1711,24137
1712,22956
1713,6508
1714,6706
1715,7479
1716,10900
1717,5658
1718,19033
1719,18660
1720,11649
1721,18779
1722,19551
1723,21246
1724,20044
1725,16097
1726,18010
1727,16396
1728,9679
1729,25823
1730,4931
1731,22547
1732,14285
1733,6632
1734,17448
1735,12817
1736,10552
1737,7829
1738,9467
1739,8146
1740,8478
1741,17664
1742,6658
1743,20463
1744,20396
1745,17100
1746,5803
1747,8818
1748,23324
1749,10132
1750,11008
1751,15200
1752,12956
1753,18882
1754,19193
1755,7123
1756,19020
1757,33395
1758,5046
1759,12091
1760,26284
1761,15227
1762,22671
1763,12251
1764,7471
1765,3416
1766,23536
1767,5609
1768,12026
1769,9650
1770,15622
1771,20254
1772,2409
1773,9267
1774,13575
1775,6718
1776,22338
1777,25175
1778,8954
1779,10637
1780,19216
1781,22349
1782,5273
1783,7896
1784,12565
1785,20525
1786,17884
1787,9988
1788,34637
1789,13135
1790,2786
1791,13339
1792,14842
1793,29887
1794,19426
1795,26725
1796,16944
1797,10555
1798,10254
1799,14241
1800,13339
1801,4609
1802,23550
1803,15696
1804,23550
1805,8070
1806,21114
1807,4352
1808,13952
1809,14926
1810,4582
1811,7258
1812,7949
1813,7198
1814,12559
1815,13199
1816,19463
1817,12960
1818,29533
1819,4841
1820,14770
1821,6768
1822,1833
1823,11311
1824,17989
1825,32199
1826,4709
1827,20520
1828,12805
1829,14409
1830,33002
1831,31959
1832,20724
1833,17486
1834,2717
1835,26696
1836,6081
1837,25479
1838,24895
1839,34359
1840,12545
1841,4272
1842,14678
1843,13889
1844,16575
1845,11158
1846,15024
1847,6254
1848,17560
1849,21179
1850,23244
1851,21545
1852,19327
1853,6970
1854,8261
1855,24619
1856,14054
1857,13340
1858,6439
1859,6385
1860,11648
1861,13647
1862,21853
1863,3779
1864,22693
1865,6683
1866,18441
1867,10361
1868,16604
1869,12980
1870,10763
1871,19014
1872,9021
1873,6954
1874,8590
1875,12008
1876,16691
1877,34845
1878,22371
1879,12705
1880,15033
1881,10468
1882,7929
1883,6492
1884,11386
1885,12035
1886,14866
1887,5246
1888,7916
1889,3447
1890,6020
1891,29543
1892,20153
1893,10205
1894,31573
1895,28363
1896,17589
1897,8300
1898,23077
1899,2440
1900,8349
1901,16102
1902,9547
1903,13768
1904,10294
1905,25959
1906,10294
1907,30342
1908,3335
1909,4235
1910,26296
1911,26477
1912,13663
1913,18020
1914,16769
1915,15368
1916,21348
1917,14637
1918,33131
1919,9795
1920,15033
1921,17048
1922,12592
1923,18162
1924,13784
1925,5654
1926,5897
1927,3059
1928,22217
1929,21196
1930,10145
1931,21292
1932,17852
1933,22624
1934,10900
1935,7547
1936,12821
1937,11511
1938,26882
1939,18350
1940,10084
1941,17324
1942,8803
1943,10321
1944,4835
1945,8950
1946,16531
1947,6620
1948,13356
1949,15426
1950,6050
1951,7520
1952,7218
1953,11121
1954,13318
1955,12574
1956,16930
1957,14569
1958,20439
1959,29712
1960,7075
1961,10881
1962,7799
1963,28182
1964,22362
1965,7300
1966,7080
1967,11368
1968,21829
1969,13624
1970,7668
1971,11277
1972,15153
1973,13429
1974,20535
1975,10287
1976,4512
1977,14449
1978,15315
1979,7574
1980,11404
1981,10481
1982,9807
1983,15035
1984,16037
1985,11315
1986,12560
1987,8838
1988,17329
1989,6170
1990,6542
1991,10206
1992,2624
1993,15490
1994,13401
1995,20946
1996,12878
1997,26882
1998,8738
1999,12393
2000,7331
2001,47202
2002,23741
2003,22758
2004,20751
2005,14926
2006,21754
2007,26192
2008,19737
2009,14480
2010,13635
2011,13739
2012,8933
2013,7288
2014,26933
2015,15075
2016,22884
2017,31922
2018,10547
2019,19742
2020,15822
2021,22065
2022,23162
2023,28135
2024,6234
2025,6804
2026,7074
2027,14216
2028,4234
2029,21443
2030,11341
2031,22512
2032,17055
2033,10122
2034,26567
2035,11562
2036,12748
2037,11472
2038,13349
2039,10040
2040,38397
2041,16981
2042,22783
2043,20872
2044,16649
2045,21179
2046,18024
2047,15986
2048,16649
2049,28976
2050,12640
2051,13421
2052,30696
2053,19757
2054,7672
2055,10422
2056,19594
2057,17477
2058,23953
2059,30279
2060,28845
2061,8069
2062,14203
2063,1862
2064,14203
2065,19757
2066,5814
2067,14527
2068,16477
2069,10209
2070,16507
2071,7129
2072,15356
2073,9738
2074,12529
2075,4246
2076,15940
2077,8664
2078,6130
2079,9676
2080,9919
2081,14563
2082,5139
2083,13595
2084,11144
2085,17955
2086,4859
2087,11788
2088,6157
2089,6983
2090,14182
2091,9587
2092,20481
2093,17370
2094,11180
2095,10431
2096,14566
2097,20032
2098,12916
2099,19765
2100,15063
2101,49656
2102,9493
2103,17025
2104,27783
2105,49004
2106,22007
2107,19279
2108,12678
2109,29312
2110,6691
2111,16733
2112,23719
2113,16490
2114,12594
2115,24762
2116,13309
2117,9193
2118,12269
2119,9430
2120,18138
2121,11780
2122,10510
2123,6103
2124,13894
2125,13558
2126,18589
2127,7553
2128,14663
2129,15436
2130,15192
2131,9851
2132,16487
2133,13088
2134,12794
2135,11833
2136,26877
2137,6048
2138,18605
2139,13088
2140,28777
2141,3978
2142,4454
2143,17852
2144,16083
2145,16569
2146,12913
2147,22844
2148,17418
2149,33326
2150,7926
2151,13211
2152,20616
2153,1830
2154,51631
2155,13753
2156,7345
2157,13903
2158,19369
2159,12986
2160,8648
2161,19386
2162,9789
2163,14088
2164,5485
2165,18981
2166,8015
2167,9135
2168,8548
2169,14277
2170,26930
2171,6984
2172,24125
2173,45891
2174,28511
2175,38417
2176,13001
2177,10666
2178,3384
2179,13986
2180,17416
2181,17209
2182,12813
2183,29568
2184,28515
2185,20427
2186,21298
2187,11311
2188,24152
2189,11390
2190,19766
2191,17089
2192,23906
2193,3335
2194,3658
2195,9381
2196,10885
2197,23723
2198,13416
2199,13901
2200,8544
2201,20697
2202,15392
2203,9100
2204,17997
2205,11264
2206,1588
2207,9018
2208,17752
2209,25458
2210,17885
2211,4921
2212,15622
2213,14647
2214,10437
2215,6749
2216,2786
2217,6936
2218,24676
2219,12273
2220,32126
2221,17158
2222,10135
2223,12954
2224,9496
2225,16283
2226,4758
2227,17451
2228,14407
2229,30540
2230,5440
2231,16430
2232,14285
2233,5063
2234,9291
2235,4273
2236,12888
2237,5903
2238,8265
2239,2711
2240,25505
2241,20702
2242,7593
2243,10888
2244,31405
2245,16159
2246,25717
2247,28278
2248,18020
2249,48200
2250,22317
2251,5730
2252,13971
2253,21790
2254,9678
2255,9491
2256,9583
2257,6590
2258,6738
2259,7167
2260,10962
2261,12474
2262,8604
2263,23382
2264,8542
2265,5259
2266,25942
2267,10230
2268,9500
2269,8184
2270,94016
2271,9801
2272,12513
2273,20087
2274,4111
2275,13437
2276,6849
2277,7189
2278,16126
2279,5829
2280,19011
2281,7832
2282,12870
2283,20921
2284,2629
2285,19748
2286,9468
2287,9672
2288,9992
2289,6438
2290,12177
2291,17365
2292,15142
2293,10388
2294,20421
2295,6216
2296,40474
2297,14730
2298,26250
2299,6039
2300,12617
2301,7175
2302,11596
2303,12860
2304,18303
2305,11435
2306,14595
2307,15095
2308,6979
2309,11659
2310,18723
2311,5828
2312,24702
2313,16931
2314,23934
2315,11379
2316,7888
2317,15277
2318,16792
2319,17657
2320,28599
2321,20456
2322,29973
2323,20905
2324,4528
2325,42344
2326,37150
2327,18916
2328,24371
2329,8774
2330,8305
2331,12798
2332,32814
2333,17307
2334,8681
2335,8334
2336,25919
2337,15064
2338,18515
2339,10796
2340,32075
2341,20999
2342,15125
2343,8027
2344,6803
2345,16496
2346,12542
2347,16130
2348,11489
2349,6054
2350,10235
2351,13504
2352,11534
2353,5563
2354,10556
2355,8353
2356,23647
2357,21859
2358,9867
2359,15551
2360,30048
2361,18273
2362,2267
2363,19009
2364,13515
2365,17818
2366,7293
2367,20740
2368,19558
2369,11436
2370,14762
2371,3615
2372,10095
2373,6781
2374,8513
2375,8575
2376,7363
2377,5967
2378,13512
2379,20777
2380,15828
2381,8807
2382,12778
2383,16258
2384,18665
2385,19825
2386,11358
2387,15901
2388,8061
2389,15593
2390,11965
2391,23947
2392,2871
2393,13146
2394,19888
2395,9491
2396,12637
2397,6972
2398,5627
2399,5354
2400,38084
